Person,Title,Organizations,Forbes Number,Tags,Race,AAPI Subcategory,Gender,Photo,Last Checked
Robin L. Washington,"Board Member, Alphabet",Alphabet,8,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/agBCZWIOQIPd5wUlfiX4Cv/robin_l_washington.jpeg,2023-02-08
K. Ram Shriram,"Board Member, Alphabet",Alphabet,8,Board Member,Asian,South Asian,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aaq6XCg0KVd9zkZDnspkD_/k_ram_shriram.jpg,2023-02-08
Larry Page,"Board Member, Alphabet",Alphabet,8,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8aieM-KmbVd2VhsknEO_Up/larry_page.jpg,2023-02-08
Sergey Brin,"Board Member, Alphabet",Alphabet,8,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9PmnGN13ekC9QmoFYi6OXK/sergey_brin.jpg,2023-02-08
Sundar Pichai,"CEO, Alphabet",Alphabet,8,"Board Member, CEO",Asian,South Asian,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8N4TxmG78e403eKl5T3OSO/sundar_pichai.jpeg,2023-02-08
John L. Hennessy,"Board Chair, Alphabet",Alphabet,8,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8skw2roYCmf2d13541Z_He/john_hennessy.jpeg,2023-02-08
Frances Arnold,"Board Member, Alphabet",Alphabet,8,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9UY5LxRt3LV1OrHVG7KkN5/frances_arnold.jpeg,2023-02-08
L. John Doerr,"Board Member, Alphabet",Alphabet,8,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bZbUhB4qS-3cuByTcvK_rP/john_doerr.jpeg,
"Roger W. Ferguson, Jr.","Board Member, Alphabet",Alphabet,8,Board Member,Black,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9IRPeQYUg79e9szubyX497/Roger_W_Ferguson_Jr.jpeg,
Ann Mather,"Board Member, Alphabet",Alphabet,8,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9Tz_3DrAstefodCmQ8AOX2/ann_mather.jpeg,
Alan R. Mulally,"Board Member, Alphabet",Alphabet,8,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8FqynUwJGnI7QCPJBYV4zw/alan_r_mulally.jpeg,
Doug McMillon,"CEO, Walmart",Walmart,1,"Board Member, CEO",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9PHj9vLuXf2fQcYlC5H4V2/Doug_McMillon.jpg,2023-02-08
Gregory B. Penner,"Board Chair, Walmart",Walmart,1,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bNO_prB8aWhaf9r_t6U_pu/gregory_penner.jpg,
Timothy P. Flynn,"Board Member, Walmart",Walmart,1,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9XIAaXaSN710lRJAco3kBY/timothy_flynn.jpeg,
Cesar Conde,"Board Member, Walmart",Walmart,1,Board Member,Latino,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8H-6qqpjYar0XvXEh7Z_a3/Cesar_Conde.png,
Sarah Friar,"Board Member, Walmart",Walmart,1,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8dA5dUzB-oF8sku12OU_9q/sarah_friar.jpg,
Carla A. Harris,"Board Member, Walmart",Walmart,1,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/88MPdI0MRHz5HcI07hMOxl/carla_a_harris.jpg,
Tom Horton,"Board Member, Walmart",Walmart,1,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8B9Vfvax1Ns07GdEydS4GM/tom_horton.jpg,
Marissa A. Mayer,"Board Member, Walmart",Walmart,1,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8GC5XNIlzuVbSAKzFAUOYG/marrisa_a_mayer.jpg,
Steven S. Reinemund,"Board Member, Walmart",Walmart,1,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aW_sX835o8t5GE3zDqCOsN/steve-reinemund.jpg,
Randall Stephenson,"Board Member, Walmart",Walmart,1,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9hoORjhp-d92QBZMB6F43U/randall_stephenson.jpg,
S. Robson ‘Rob’ Walton,"Board Member, Walmart",Walmart,1,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aLg8N4rlsUg23Z92Fls4vI/rob_walton.jpg,
